id,tier,legendary,background,body,eyes,mouth,headwear,neck,bling,rarity_score
44,Uncommon,,Sand,Classic Navy,Shades,None,Kelp Wrap,Diamond Chain,,60.83
45,Common,,Maroon,Steel,Classic,None,None,Cuban Chain,,18.03
46,Uncommon,,Charcoal,Deep Sea,Sleepy,None,Beanie,Pearl String,Gold Watch,53.25
47,Common,,Gold Dust,Classic Navy,Sleepy,None,Beanie,None,,44.17
48,Uncommon,,Mauve,Midnight Black,Classic,None,Beanie,Cuban Chain,Diamond Spout,68.72
49,Common,,Mauve,Classic Navy,Classic,None,None,Silver Chain,Emerald Stud,30.98
50,Uncommon,,Sage,Midnight Black,Sleepy,Bubble Pipe,Captain's Hat,Cuban Chain,,67.65
51,Common,,Mauve,Classic Navy,Classic,None,Halo,Silver Chain,,35.27
52,Common,,Sage,Classic Navy,Sleepy,None,None,Silver Chain,,24.72
53,Rare,,Gold Dust,Classic Navy,Classic,Diamond Grill,Crown,None,Emerald Stud,97.65
54,Common,,Sage,Steel,Classic,None,None,None,,14.04
55,Common,,Mauve,Deep Sea,Shades,None,Captain's Hat,Cuban Chain,,37.69
56,Common,,Charcoal,Ocean Blue,Sleepy,None,None,None,,20.48
57,Common,,Maroon,Classic Navy,Classic,Cigar,None,Cuban Chain,Gold Watch|Pinky Ring,45.08
58,Common,,Sand,Deep Sea,Classic,None,None,None,Emerald Stud,32.65
59,Uncommon,,Maroon,Classic Navy,Classic,Punk Cigarette,Sailor Cap,Diamond Chain,Emerald Stud,57.67
60,Common,,Maroon,Classic Navy,Laser,None,None,None,,27.05
61,Common,,Charcoal,Classic Navy,Classic,Cigar,None,Cuban Chain,Gold Watch,31.01
62,Uncommon,,Gold Dust,Classic Navy,Classic,Bubble Pipe,Kelp Wrap,Silver Chain,,62.65
63,Common,,Maroon,Deep Sea,Classic,Punk Cigarette,Kelp Wrap,Cuban Chain,,38.86
64,Uncommon,,Maroon,Classic Navy,Sleepy,Diamond Grill,None,None,Emerald Stud|Gold Watch,68.71
65,Common,,Slate,Ocean Blue,Classic,Gold Tooth,None,None,,19.7
66,Common,,Sand,Deep Sea,Gold Monocle,None,Sailor Cap,None,,40.48
67,Common,,Sage,Steel,Sleepy,None,None,None,Gold Watch,30.56
68,Common,,Charcoal,Ocean Blue,Classic,None,Beanie,None,,22.29
69,Rare,,Gold Dust,Steel,Shades,None,Beanie,Silver Chain,Coin Spout,90.0
70,Common,,Sage,Ocean Blue,Classic,Cigar,Sailor Cap,None,Pinky Ring,40.73
71,Common,,Sage,Classic Navy,Classic,Bubble Pipe,Sailor Cap,None,,29.52
72,Common,,Maroon,Classic Navy,Gold Monocle,None,Captain's Hat,None,,27.24
73,Uncommon,,Mauve,Steel,Classic,Diamond Grill,Beanie,None,,58.48
74,Common,,Sage,Arctic,Laser,None,Beanie,None,,46.39
75,Common,,Maroon,Steel,Classic,Punk Cigarette,Crown,Cuban Chain,,49.7
76,Common,,Sage,Steel,Classic,None,None,None,Coin Spout,47.37
77,Common,,Charcoal,Steel,Classic,Punk Cigarette,Sailor Cap,Cuban Chain,,34.44
78,Common,,Sage,Deep Sea,Abyss Glow,Punk Cigarette,None,None,Diamond Spout,49.72
79,Common,,Mauve,Classic Navy,Classic,None,None,None,,12.65
80,Common,,Mauve,Classic Navy,Classic,Punk Cigarette,Captain's Hat,None,,27.01
81,Common,,Slate,Classic Navy,Laser,Cigar,Captain's Hat,None,,39.28
82,Common,,Slate,Ocean Blue,Classic,Gold Tooth,None,Diamond Chain,,44.7
83,Common,,Sage,Classic Navy,Classic,None,Sailor Cap,Cuban Chain,,22.02
84,Common,,Slate,Deep Sea,Classic,Punk Cigarette,Sailor Cap,None,Diamond Spout,45.17
85,Uncommon,,Maroon,Midnight Black,Shades,Cigar,Captain's Hat,None,,53.69
86,Common,,Charcoal,Classic Navy,Gold Monocle,None,Sailor Cap,None,Emerald Stud,39.29
87,Common,,Charcoal,Classic Navy,Gold Monocle,Gold Tooth,None,Silver Chain,,38.81
88,Uncommon,,Slate,Ocean Blue,Gold Monocle,Punk Cigarette,Crown,Silver Chain,Emerald Stud,72.05
89,Common,,Mauve,Classic Navy,Abyss Glow,Cigar,Sailor Cap,Cuban Chain,,40.02
90,Common,,Charcoal,Classic Navy,Classic,Cigar,Beanie,Cuban Chain,Emerald Stud,39.34
91,Common,,Mauve,Arctic,Classic,None,Captain's Hat,None,,30.34
92,Common,,Maroon,Classic Navy,Classic,Cigar,Beanie,Cuban Chain,,26.74
93,Common,,Mauve,Classic Navy,Classic,Gold Tooth,Kelp Wrap,Cuban Chain,Emerald Stud,48.48
94,Common,,Charcoal,Ocean Blue,Classic,Gold Tooth,Sailor Cap,Cuban Chain,,34.44
95,Common,,Sage,Ocean Blue,Sleepy,Gold Tooth,None,None,,27.22
96,Common,,Maroon,Ocean Blue,Gold Monocle,None,Beanie,None,,30.38
97,Common,,Mauve,Classic Navy,Classic,None,Beanie,Cuban Chain,,25.98
98,Common,,Charcoal,Ocean Blue,Classic,Cigar,None,None,,18.51
99,Rare,,Gold Dust,Midnight Black,Abyss Glow,None,Sailor Cap,None,,73.21
100,Legendary,The Don,Gold Dust,Gilded,Classic,Cigar,Crown,Cuban Chain,,128.03
101,Uncommon,,Maroon,Deep Sea,Shades,Punk Cigarette,Kelp Wrap,Pearl String,Diamond Spout,68.16
102,Common,,Charcoal,Classic Navy,Classic,Bubble Pipe,None,None,Pinky Ring,40.63
103,Common,,Sage,Classic Navy,Classic,None,None,Silver Chain,,18.21
104,Common,,Sage,Classic Navy,Classic,Gold Tooth,None,None,Pinky Ring,34.87
105,Common,,Slate,Classic Navy,Classic,Punk Cigarette,Sailor Cap,Pearl String,,33.78
106,Uncommon,,Slate,Arctic,Shades,Diamond Grill,Captain's Hat,None,,66.4
107,Common,,Charcoal,Arctic,Classic,Bubble Pipe,Beanie,None,,42.29
108,Common,,Sage,Steel,Laser,None,None,None,Gold Watch,42.22
109,Uncommon,,Sage,Classic Navy,Laser,Gold Tooth,Sailor Cap,Silver Chain,Diamond Spout,68.53
110,Common,,Maroon,Classic Navy,Classic,None,None,Pearl String,,19.97
111,Common,,Slate,Classic Navy,Classic,None,None,Pearl String,,19.97
112,Common,,Sage,Ocean Blue,Classic,Bubble Pipe,Captain's Hat,Cuban Chain,Gold Watch,47.57
113,Common,,Charcoal,Deep Sea,Abyss Glow,Cigar,None,None,Pinky Ring,49.19
114,Common,,Maroon,Classic Navy,Classic,Bubble Pipe,Beanie,None,Diamond Spout,46.36
115,Common,,Slate,Classic Navy,Shades,Cigar,None,None,,19.92
116,Common,,Sage,Classic Navy,Classic,None,None,Silver Chain,Emerald Stud,28.21
117,Common,,Sage,Classic Navy,Shades,Punk Cigarette,None,Diamond Chain,,48.06
118,Common,,Slate,Deep Sea,Abyss Glow,Cigar,Beanie,None,,38.26
119,Common,,Maroon,Steel,Abyss Glow,Punk Cigarette,None,None,,30.38
120,Common,,Maroon,Classic Navy,Sleepy,None,Beanie,None,,23.71
121,Common,,Slate,Classic Navy,Gold Monocle,Bubble Pipe,Beanie,None,,40.38
122,Common,,Maroon,Steel,Shades,None,None,Pearl String,,30.66
123,Common,,Sage,Ocean Blue,Classic,Bubble Pipe,None,Cuban Chain,,29.87
124,Common,,Slate,Ocean Blue,Laser,Cigar,Sailor Cap,None,,41.23
125,Common,,Slate,Ocean Blue,Laser,None,Sailor Cap,Silver Chain,,45.02
126,Uncommon,,Maroon,Classic Navy,Classic,None,Captain's Hat,None,Pinky Ring|Coin Spout,66.56
127,Uncommon,,Charcoal,Midnight Black,Sleepy,Gold Tooth,None,Cuban Chain,,57.38
128,Common,,Maroon,Classic Navy,Laser,None,None,Pearl String,,38.16
129,Common,,Maroon,Classic Navy,Shades,Punk Cigarette,Captain's Hat,Cuban Chain,,34.74
130,Common,,Maroon,Arctic,Classic,None,Sailor Cap,None,,26.01
131,Common,,Slate,Classic Navy,Abyss Glow,Cigar,Crown,None,,49.09
132,Common,,Sage,Classic Navy,Shades,None,Sailor Cap,None,,23.53
133,Common,,Charcoal,Classic Navy,Gold Monocle,None,Sailor Cap,None,,29.29
134,Common,,Slate,Steel,Classic,None,None,None,,13.03
135,Common,,Maroon,Steel,Classic,Cigar,Kelp Wrap,None,,30.08
136,Uncommon,,Sage,Steel,Shades,Cigar,Captain's Hat,Diamond Chain,Gold Watch,67.79
137,Uncommon,,Sage,Midnight Black,Classic,Cigar,Beanie,Cuban Chain,Gold Watch,63.82
138,Rare,,Mauve,Deep Sea,Abyss Glow,Diamond Grill,Halo,Pearl String,,87.9
139,Common,,Maroon,Steel,Abyss Glow,Gold Tooth,None,Cuban Chain,,37.05
140,Common,,Maroon,Deep Sea,Classic,Punk Cigarette,Kelp Wrap,None,Gold Watch,43.86
141,Common,,Sage,Classic Navy,Classic,None,Halo,None,Emerald Stud,34.16
142,Common,,Slate,Classic Navy,Classic,None,Sailor Cap,None,,16.01
143,Common,,Maroon,Steel,Classic,Cigar,Beanie,Silver Chain,,34.24
144,Rare,,Slate,Classic Navy,Gold Monocle,None,Halo,None,Emerald Stud|Coin Spout,77.16
145,Common,,Slate,Classic Navy,Sleepy,Punk Cigarette,None,None,,22.05
146,Common,,Slate,Classic Navy,Classic,None,Halo,Silver Chain,,31.48
147,Common,,Slate,Classic Navy,Sleepy,Cigar,Sailor Cap,Silver Chain,,35.4
148,Uncommon,,Charcoal,Ocean Blue,Sleepy,Cigar,Kelp Wrap,Pearl String,Diamond Spout,65.3
149,Common,,Charcoal,Classic Navy,Classic,None,None,None,,11.46
150,Uncommon,,Gold Dust,Classic Navy,Gold Monocle,None,Captain's Hat,None,Emerald Stud,57.69
151,Common,,Sage,Ocean Blue,Abyss Glow,Punk Cigarette,Sailor Cap,Silver Chain,,45.2
152,Common,,Sage,Classic Navy,Classic,Cigar,None,None,,14.42
153,Common,,Maroon,Classic Navy,Classic,None,Captain's Hat,None,,16.56
154,Common,,Maroon,Classic Navy,Abyss Glow,Punk Cigarette,None,None,,26.21
155,Common,,Mauve,Ocean Blue,Classic,Cigar,None,None,Pinky Ring,36.36
156,Common,,Maroon,Ocean Blue,Classic,None,Kelp Wrap,None,Emerald Stud,33.86
157,Common,,Slate,Classic Navy,Classic,Punk Cigarette,None,None,,15.53
158,Common,,Sand,Steel,Laser,Punk Cigarette,None,None,,45.83
159,Common,,Maroon,Ocean Blue,Gold Monocle,Bubble Pipe,None,None,,34.55
160,Uncommon,,Slate,Arctic,Shades,Cigar,None,Pearl String,Gold Watch|Diamond Spout,67.7
161,Common,,Charcoal,Midnight Black,Classic,None,None,None,,37.53
162,Common,,Slate,Classic Navy,Classic,None,Captain's Hat,Cuban Chain,Emerald Stud|Gold Watch,41.56
163,Common,,Maroon,Arctic,Abyss Glow,Cigar,Halo,None,,48.38
164,Common,,Maroon,Steel,Shades,Cigar,None,Cuban Chain,,29.09
165,Rare,,Gold Dust,Classic Navy,Shades,None,Beanie,Cuban Chain,Emerald Stud|Coin Spout,92.5
166,Rare,,Charcoal,Deep Sea,Gold Monocle,Gold Tooth,Sailor Cap,Pearl String,Coin Spout,87.9
167,Common,,Sage,Deep Sea,Sleepy,None,None,Cuban Chain,,27.22
168,Common,,Sage,Classic Navy,Classic,Punk Cigarette,None,Silver Chain,Emerald Stud,34.87
169,Common,,Slate,Ocean Blue,Shades,None,Beanie,None,Pinky Ring,42.88
170,Common,,Slate,Deep Sea,Shades,Cigar,Kelp Wrap,None,,38.26
171,Common,,Sage,Classic Navy,Classic,None,None,None,,9.87
172,Uncommon,,Slate,Midnight Black,Classic,Gold Tooth,None,Cuban Chain,Emerald Stud,58.27
173,Uncommon,,Slate,Classic Navy,Classic,None,Beanie,None,Pinky Ring|Coin Spout,67.2
174,Common,,Slate,Deep Sea,Shades,None,Sailor Cap,None,,28.35
175,Common,,Charcoal,Arctic,Sleepy,Cigar,Captain's Hat,Silver Chain,,48.55
176,Uncommon,,Sage,Deep Sea,Sleepy,None,Captain's Hat,None,Emerald Stud|Gold Watch,49.91
177,Common,,Maroon,Classic Navy,Classic,Cigar,None,None,,13.41
178,Common,,Maroon,Steel,Classic,None,Sailor Cap,None,Emerald Stud|Diamond Spout,46.84
179,Common,,Slate,Ocean Blue,Classic,None,Captain's Hat,None,Emerald Stud,29.06
180,Rare,,Gold Dust,Gilded,Classic,Gold Tooth,Sailor Cap,Pearl String,,120.07
181,Common,,Charcoal,Classic Navy,Classic,Gold Tooth,None,None,,19.79
182,Common,,Maroon,Ocean Blue,Sleepy,None,None,None,Pinky Ring,34.55
183,Common,,Slate,Classic Navy,Classic,Gold Tooth,Captain's Hat,Silver Chain,,33.22
184,Uncommon,,Slate,Ocean Blue,Sleepy,Cigar,Sailor Cap,Diamond Chain,Emerald Stud,64.57
185,Common,,Maroon,Classic Navy,Classic,None,Sailor Cap,Silver Chain,,24.34
186,Uncommon,,Sage,Arctic,Shades,None,Crown,Silver Chain,Gold Watch,69.72
187,Common,,Slate,Steel,Classic,Punk Cigarette,None,None,,19.7
188,Common,,Mauve,Steel,Classic,None,None,Pearl String,,27.93
189,Common,,Slate,Classic Navy,Classic,Cigar,None,None,Emerald Stud|Gold Watch,33.41
190,Common,,Slate,Steel,Classic,Cigar,None,Pearl String,,28.69
191,Common,,Sage,Classic Navy,Abyss Glow,None,None,None,Emerald Stud,30.56
192,Common,,Mauve,Ocean Blue,Classic,None,Captain's Hat,None,,22.84
193,Common,,Slate,Deep Sea,Gold Monocle,None,None,Silver Chain,Gold Watch,43.71
194,Common,,Slate,Steel,Classic,None,Halo,Pearl String,,38.43
195,Common,,Maroon,Ocean Blue,Classic,Punk Cigarette,None,None,,18.03
196,Common,,Mauve,Deep Sea,Classic,None,None,None,,18.48
197,Common,,Mauve,Deep Sea,Gold Monocle,None,None,None,Gold Watch,39.17
198,Common,,Mauve,Steel,Shades,None,Sailor Cap,None,,30.48
199,Common,,Mauve,Deep Sea,Classic,Gold Tooth,Captain's Hat,None,,34.51
200,Legendary,Old Ironside,Slate,Steel,Classic,None,Captain's Hat,None,,20.72
201,Common,,Slate,Deep Sea,Classic,None,Captain's Hat,None,,22.39
202,Common,,Sage,Classic Navy,Classic,Punk Cigarette,Captain's Hat,Cuban Chain,,29.23
203,Common,,Maroon,Classic Navy,Classic,Gold Tooth,Beanie,Cuban Chain,,30.53
204,Common,,Sand,Deep Sea,Classic,Punk Cigarette,None,Cuban Chain,,34.32
205,Common,,Slate,Deep Sea,Gold Monocle,Cigar,Kelp Wrap,None,,42.42
206,Common,,Mauve,Deep Sea,Classic,Cigar,Kelp Wrap,Cuban Chain,,40.53
207,Common,,Sage,Steel,Shades,Cigar,None,None,Emerald Stud,35.1
208,Common,,Mauve,Classic Navy,Classic,Bubble Pipe,None,Silver Chain,,33.48
209,Common,,Sage,Classic Navy,Sleepy,None,Kelp Wrap,None,Gold Watch,38.89
210,Common,,Slate,Classic Navy,Shades,Bubble Pipe,None,Silver Chain,,36.21
211,Common,,Slate,Deep Sea,Shades,None,None,None,,21.21
212,Common,,Mauve,Deep Sea,Gold Monocle,None,Halo,None,,43.45
213,Common,,Sand,Ocean Blue,Shades,Cigar,None,None,,30.38
214,Common,,Sage,Classic Navy,Abyss Glow,Cigar,Halo,Cuban Chain,,44.39
215,Common,,Sand,Ocean Blue,Classic,None,None,None,Emerald Stud,29.32
216,Common,,Slate,Classic Navy,Classic,Cigar,Sailor Cap,None,,20.55
217,Common,,Maroon,Deep Sea,Classic,Cigar,Kelp Wrap,None,,31.74
218,Common,,Maroon,Arctic,Classic,Cigar,Sailor Cap,Silver Chain,,38.89
219,Common,,Sage,Classic Navy,Classic,None,Captain's Hat,None,Gold Watch,27.57
220,Common,,Slate,Steel,Shades,Punk Cigarette,None,Silver Chain,Emerald Stud,44.55
221,Uncommon,,Charcoal,Classic Navy,Classic,Gold Tooth,None,Diamond Chain,Emerald Stud,54.79
222,Common,,Sage,Classic Navy,Sleepy,Gold Tooth,Beanie,None,,33.06
223,Common,,Maroon,Classic Navy,Classic,None,None,Cuban Chain,,13.86
224,Uncommon,,Gold Dust,Classic Navy,Classic,Cigar,Captain's Hat,None,Gold Watch,51.56
225,Rare,,Charcoal,Gilded,Classic,None,None,None,Gold Watch,85.63
226,Common,,Slate,Classic Navy,Classic,Bubble Pipe,Beanie,None,Emerald Stud,39.7
227,Common,,Sage,Steel,Classic,None,Sailor Cap,Cuban Chain,Emerald Stud,36.18
228,Common,,Sage,Classic Navy,Shades,Cigar,None,Pearl String,,32.05
229,Common,,Sage,Classic Navy,Sleepy,Punk Cigarette,Captain's Hat,None,,30.75
230,Uncommon,,Maroon,Steel,Sleepy,None,Kelp Wrap,Pearl String,Gold Watch,53.16
231,Common,,Mauve,Classic Navy,Classic,None,Crown,Cuban Chain,,42.65
232,Common,,Sage,Deep Sea,Shades,None,Beanie,None,Diamond Spout,47.22
233,Common,,Maroon,Ocean Blue,Classic,Cigar,Kelp Wrap,Cuban Chain,,33.41
234,Common,,Charcoal,Ocean Blue,Classic,None,Captain's Hat,None,,21.65
235,Uncommon,,Slate,Classic Navy,Abyss Glow,None,None,Diamond Chain,Pinky Ring,61.21
236,Common,,Mauve,Ocean Blue,Classic,Cigar,Kelp Wrap,None,Gold Watch,42.2
237,Uncommon,,Mauve,Classic Navy,Classic,Cigar,None,None,Coin Spout,50.53
238,Common,,Sand,Classic Navy,Shades,Gold Tooth,Beanie,None,,40.0
239,Uncommon,,Maroon,Midnight Black,Gold Monocle,None,Halo,Cuban Chain,,64.9
240,Common,,Maroon,Arctic,Classic,Gold Tooth,Captain's Hat,None,,34.89
241,Rare,,Slate,Arctic,Classic,Bubble Pipe,Crown,Diamond Chain,,81.36
242,Common,,Mauve,Ocean Blue,Classic,None,None,None,Pinky Ring,31.82
243,Common,,Sage,Classic Navy,Classic,Cigar,None,Silver Chain,,22.75
244,Uncommon,,Sage,Midnight Black,Classic,Bubble Pipe,Beanie,None,,56.78
245,Common,,Mauve,Deep Sea,Classic,None,Beanie,None,,26.82
246,Common,,Maroon,Ocean Blue,Shades,None,Kelp Wrap,Pearl String,,41.49
247,Uncommon,,Sand,Classic Navy,Gold Monocle,None,Kelp Wrap,Silver Chain,Emerald Stud,58.33
248,Common,,Maroon,Classic Navy,Classic,Punk Cigarette,Beanie,None,,23.86
249,Common,,Charcoal,Deep Sea,Gold Monocle,None,None,None,,27.98
250,Uncommon,,Mauve,Ocean Blue,Classic,Bubble Pipe,Captain's Hat,Cuban Chain,Gold Watch,50.34
251,Common,,Slate,Classic Navy,Classic,Punk Cigarette,Kelp Wrap,Cuban Chain,,33.03
252,Common,,Sage,Arctic,Shades,None,Captain's Hat,Pearl String,,45.19
253,Common,,Sand,Ocean Blue,Sleepy,None,None,None,,25.83
254,Common,,Sage,Steel,Classic,None,None,Cuban Chain,,19.04
255,Common,,Maroon,Classic Navy,Gold Monocle,None,Halo,Pearl String,,44.94
256,Common,,Maroon,Classic Navy,Abyss Glow,Cigar,None,Pearl String,,35.2
257,Uncommon,,Charcoal,Steel,Abyss Glow,Gold Tooth,Kelp Wrap,Cuban Chain,,52.14
258,Common,,Maroon,Arctic,Shades,Gold Tooth,None,None,,33.71
259,Common,,Sage,Ocean Blue,Classic,None,Kelp Wrap,None,,24.87
260,Common,,Mauve,Classic Navy,Classic,Cigar,None,None,,17.2
261,Common,,Sage,Arctic,Classic,Cigar,Beanie,Silver Chain,,41.09
262,Common,,Sage,Classic Navy,Classic,Punk Cigarette,None,Pearl String,,27.65
263,Rare,,Charcoal,Gilded,Classic,Punk Cigarette,Sailor Cap,None,,89.44
264,Common,,Sand,Ocean Blue,Sleepy,Bubble Pipe,None,None,,38.33
265,Common,,Maroon,Steel,Laser,Cigar,None,Silver Chain,,44.09
266,Uncommon,,Slate,Ocean Blue,Abyss Glow,Punk Cigarette,Captain's Hat,Silver Chain,Gold Watch,54.74
267,Uncommon,,Gold Dust,Classic Navy,Classic,Gold Tooth,None,None,Pinky Ring,54.32
268,Common,,Mauve,Classic Navy,Classic,Bubble Pipe,Beanie,None,,33.48
269,Uncommon,,Mauve,Steel,Classic,Punk Cigarette,Crown,Pearl String,,59.6
270,Common,,Slate,Classic Navy,Classic,Bubble Pipe,Beanie,None,,29.7
271,Common,,Mauve,Classic Navy,Classic,None,Beanie,None,,20.98
272,Common,,Slate,Steel,Classic,Cigar,Captain's Hat,None,,25.27
273,Uncommon,,Charcoal,Deep Sea,Classic,Cigar,Sailor Cap,Cuban Chain,Coin Spout,67.32
274,Rare,,Mauve,Ocean Blue,Laser,Cigar,Sailor Cap,None,Coin Spout,78.35
275,Common,,Slate,Ocean Blue,Classic,Punk Cigarette,Captain's Hat,None,,25.72
276,Common,,Maroon,Ocean Blue,Sleepy,Cigar,None,None,,22.42
277,Common,,Maroon,Classic Navy,Shades,Bubble Pipe,None,Silver Chain,,36.21
278,Uncommon,,Slate,Steel,Laser,Punk Cigarette,Kelp Wrap,None,Gold Watch,60.38
279,Common,,Sage,Ocean Blue,Laser,Cigar,Halo,None,,49.39
280,Common,,Maroon,Ocean Blue,Classic,None,Sailor Cap,None,,18.51
281,Common,,Maroon,Deep Sea,Classic,Cigar,None,Silver Chain,,27.58
282,Common,,Sage,Classic Navy,Gold Monocle,None,Kelp Wrap,Cuban Chain,,38.06
283,Common,,Maroon,Classic Navy,Classic,None,None,None,,8.86
284,Common,,Slate,Classic Navy,Classic,None,Captain's Hat,None,,16.56
285,Common,,Maroon,Classic Navy,Abyss Glow,Cigar,None,None,Gold Watch,34.09
286,Common,,Slate,Steel,Classic,None,None,None,Pinky Ring,29.7
287,Common,,Charcoal,Steel,Abyss Glow,Gold Tooth,Halo,None,,48.93
288,Common,,Sage,Ocean Blue,Classic,Gold Tooth,Kelp Wrap,Silver Chain,,41.54
289,Common,,Mauve,Deep Sea,Classic,Cigar,Halo,None,,37.32
290,Common,,Maroon,Ocean Blue,Shades,Cigar,None,Cuban Chain,Emerald Stud,37.42
291,Common,,Charcoal,Classic Navy,Sleepy,Gold Tooth,Halo,None,,40.6
292,Common,,Sand,Steel,Classic,None,None,Pearl String,,32.1
293,Common,,Slate,Ocean Blue,Shades,None,Captain's Hat,None,Gold Watch,35.57
294,Common,,Maroon,Classic Navy,Sleepy,None,Beanie,Cuban Chain,,28.71
295,Common,,Sage,Classic Navy,Classic,None,Beanie,None,,18.21
296,Common,,Sand,Steel,Classic,None,None,None,,20.98
297,Common,,Maroon,Classic Navy,Classic,Bubble Pipe,Halo,Silver Chain,,43.98
298,Uncommon,,Slate,Arctic,Classic,Cigar,Beanie,Silver Chain,Diamond Spout,56.74
299,Common,,Sage,Classic Navy,Classic,None,None,Pearl String,,20.98
300,Legendary,The Ghost,Arctic Haze,Arctic,Classic,None,None,None,,14.32
301,Common,,Mauve,Classic Navy,Classic,None,Crown,Pearl String,,48.76
302,Common,,Slate,Ocean Blue,Classic,Cigar,None,Cuban Chain,,20.91
303,Common,,Charcoal,Steel,Shades,Cigar,None,None,Diamond Spout,43.35
304,Common,,Charcoal,Classic Navy,Classic,Cigar,None,None,,16.01
305,Common,,Sage,Classic Navy,Gold Monocle,None,Sailor Cap,None,Gold Watch,37.7
306,Rare,,Charcoal,Classic Navy,Classic,Cigar,Halo,None,Pinky Ring|Coin Spout,80.29
307,Common,,Sage,Ocean Blue,Classic,Punk Cigarette,None,None,,19.04
308,Uncommon,,Slate,Classic Navy,Classic,Gold Tooth,Crown,Pearl String,,53.31
309,Uncommon,,Mauve,Midnight Black,Classic,Gold Tooth,None,Cuban Chain,,52.06
310,Uncommon,,Sage,Steel,Gold Monocle,Diamond Grill,Beanie,None,,66.39
311,Common,,Maroon,Ocean Blue,Classic,None,Sailor Cap,None,Diamond Spout,35.17
312,Common,,Maroon,Arctic,Classic,Gold Tooth,Sailor Cap,None,,34.34
313,Common,,Charcoal,Arctic,Classic,None,None,None,Emerald Stud|Pinky Ring,48.13
